Nr. ; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  EMail ;  Newsletter
1 ; Herr ; Dr. ; Noel ; McGuire ; 16.7.1981 ; Straßburger Weg 14 ; 04886 ; Großtreben-Zwethau ; 03421 / 21763475 ; 0154 / 3474042 ; 03421 / 95223493 ; n.mcguire@mail.xyz ; ja
2 ; Frau ; Dr. ; Giulia ; Wittmann ; 23.7.1960 ; Sporckweg 37 ; 55278 ; Dalheim ; 06249 / 25710137 ; 0163 / 4673866 ; 06249 / 81099207 ; g.wittmann@mail.xyz ; ja
3 ; Herr ; Dr. ; Lasse ; Schardt ; 4.12.1946 ; Hüfferstr. 133 ; 70193 ; Stuttgart ; 0711 / 73082730 ; 0165 / 4592539 ; 0711 / 41255869 ; l.schardt@mail.xyz ; ja
4 ; Herr ; Dr. ; Bernt ; Parsons ; 26.6.1927 ; Marktstr. 72 ; 89250 ; Senden ; 07307 / 30319204 ; 0158 / 7463130 ; 07307 / 87064739 ; bernt.parsons@mail.xyz ; ja
5 ; Frau ; Prof. ; Vivien ; Helbig ; 10.3.1961 ; Catharina-Müller-Str. 50 ; 85414 ; Kirchdorf an der Amper ; 08166 / 14676838 ; 0169 / 8712710 ; 08166 / 8972154 ; v.helbig@mail.xyz ; ja
6 ; Herr ; Prof. ; Fabio ; Herb ; 19.7.1978 ; Rüschhausweg 116 ; 53557 ; Bad Hönningen ; 02635 / 26379753 ; 0172 / 3405444 ; 02635 / 46135260 ; fabio.herb@mail.xyz ; ja
7 ; Frau ; Dr. ; Ina ; Sanchez ; 3.6.1920 ; Manfred-von-Richthofen-Str. 57 ; 56332 ; Oberfell ; 02607 / 78625784 ; 0159 / 9316577 ; 02607 / 24941874 ; ina.sanchez@mail.xyz ; ja
8 ; Frau ; Dr. ; Johanna ; Sieber ; 26.12.1997 ; Franz-Peter-Kürten-Weg 155 ; 54533 ; Willwerscheid ; 06541 / 97176860 ; 0150 / 6116783 ; 06541 / 17386449 ; johanna.sieber@mail.xyz ; ja
9 ; Herr ; Dr. ; Kay ; Demuth ; 18.9.1977 ; Agrippastr. 96 ; 94142 ; Fürsteneck ; 08555 / 98160397 ; 0176 / 3947141 ; 08555 / 8792466 ; k.demuth@mail.xyz ; ja
10 ; Herr ; Dr. ; Heinrich ; Wright ; 20.12.1961 ; Sophienstr. 143 ; 97424 ; Schweinfurt ; 09721 / 77983347 ; 0150 / 3441961 ; 09721 / 35612276 ; h.wright@mail.xyz ; ja
11 ; Frau ; Dr. ; Ella ; Radtke ; 11.1.1929 ; Angelmodder Weg 163 ; 54636 ; Brecht ; 06527 / 25787480 ; 0175 / 7111323 ; 06527 / 75153772 ; ella.radtke@mail.xyz ; ja
12 ; Frau ; Dr. ; Joana ; Jacobi ; 15.7.1999 ; Am Berler Kamp 24 ; 79599 ; Wittlingen ; 07621 / 68748349 ; 0160 / 5747074 ; 07621 / 28311396 ; joana.jacobi@mail.xyz ; ja
13 ; Frau ; Prof. ; Stephanie ; Flowers ; 13.10.1952 ; Am Hörsterfriedhof 183 ; 97292 ; Holzkirchen ; 09369 / 70860175 ; 0172 / 5959693 ; 09369 / 54472691 ; stephanie.flowers@mail.xyz ; ja
14 ; Herr ; Prof. ; Matthias ; Love ; 23.8.1930 ; Bünkamp 106 ; 21035 ; Hamburg ; 040 / 75033662 ; 0159 / 9876431 ; 040 / 86378608 ; matthias.love@mail.xyz ; ja
15 ; Herr ; Dr. ; Jan ; Kassner ; 12.2.1969 ; Gescherweg 143 ; 31073 ; Delligsen ; 05187 / 81114867 ; 0164 / 3881836 ; 05187 / 72616704 ; j.kassner@mail.xyz ; ja
16 ; Herr ; Dr. ; Stephan ; Lohmann ; 18.12.1994 ; Kochwiesenstr. 41 ; 12687 ; Marzahn ; 030 / 73196777 ; 0173 / 9377752 ; 030 / 86702717 ; s.lohmann@mail.xyz ; ja
17 ; Frau ; Dr. ; Emmely ; Kelly ; 28.1.1933 ; Steinkamp 87 ; 08468 ; Heinsdorfergrund ; 03765 / 98924311 ; 0162 / 2641900 ; 03765 / 183031 ; emmely.kelly@mail.xyz ; ja
18 ; Herr ; Prof. ; Victor ; Peitz ; 11.4.1951 ; Dahlweg 73 ; 85661 ; Forstinning ; 08121 / 24491287 ; 0166 / 3421811 ; 08121 / 37007278 ; victor.peitz@mail.xyz ; ja
19 ; Frau ; Prof. ; Franziska ; Hiller ; 14.3.1995 ; Kochwiesenstr. 106 ; 28359 ; Bremen ; 0421 / 30414078 ; 0174 / 5677315 ; 0421 / 19143057 ; franziska.hiller@mail.xyz ; ja
20 ; Frau ; Dr. ; Regina ; Rausch ; 20.8.1934 ; Sophienstr. 23 ; 04808 ; Wurzen ; 03425 / 91806672 ; 0175 / 4240573 ; 03425 / 63788214 ; regina.rausch@mail.xyz ; ja
21 ; Frau ; Dr. ; Amy ; Keil ; 23.12.1935 ; Neusser Str. 77 ; 37073 ; Göttingen ; 0551 / 14172437 ; 0172 / 4044783 ; 0551 / 56270631 ; amy.keil@mail.xyz ; ja
22 ; Herr ; Dr. ; Enno ; Lehr ; 11.5.1933 ; Cheruskerstr. 127 ; 29416 ; Siedenlangenbeck ; 03901 / 70044961 ; 0163 / 1030112 ; 03901 / 41535615 ; enno.lehr@mail.xyz ; ja
23 ; Herr ; Dr. ; Frederik ; Burkhardt ; 16.12.1921 ; Olpener Str. 77 ; 24149 ; Kiel ; 0431 / 83006417 ; 0171 / 7887818 ; 0431 / 60125642 ; f.burkhardt@mail.xyz ; ja
24 ; Frau ; Prof. ; Marie ; Rüdiger ; 5.10.1925 ; Morthorststr. 123 ; 78087 ; Mönchweiler ; 07721 / 66326042 ; 0175 / 8592306 ; 07721 / 97816759 ; m.ruediger@mail.xyz ; ja
25 ; Herr ; Dr. ; Connor ; Landau ; 17.1.1947 ; Rincklakeweg 42 ; 84140 ; Gangkofen ; 08722 / 73700009 ; 0160 / 4267981 ; 08722 / 78247993 ; c.landau@mail.xyz ; ja
26 ; Herr ; Dr. ; Mirco ; Keck ; 19.7.1921 ; Christinastr. 44 ; 27211 ; Bassum ; 04241 / 14171610 ; 0177 / 4124678 ; 04241 / 66120439 ; mirco.keck@mail.xyz ; ja
27 ; Herr ; Dr. ; Bjarne ; Kuhn ; 19.12.1974 ; Heisstr. 163 ; 35285 ; Gemünden ; 06453 / 83283997 ; 0175 / 4181528 ; 06453 / 40623982 ; bjarne.kuhn@mail.xyz ; ja
28 ; Herr ; Dr. ; Cedrik ; Linke ; 1.4.2000 ; Im Draum 93 ; 44339 ; Dortmund ; 0231 / 14998208 ; 0155 / 5235414 ; 0231 / 35284321 ; c.linke@mail.xyz ; ja
29 ; Herr ; Dr. ; Jesse ; Reisch ; 2.12.1965 ; Maximilianstr. 196 ; 53534 ; Wiesemscheid ; 02691 / 18836744 ; 0175 / 1784869 ; 02691 / 87912912 ; jesse.reisch@mail.xyz ; ja
30 ; Frau ; Dr. ; Anastasia ; Tesch ; 20.5.1924 ; Im Stemmen 122 ; 38527 ; Meine ; 05304 / 40655026 ; 0152 / 1979264 ; 05304 / 99165968 ; a.tesch@mail.xyz ; ja
31 ; Frau ; Dr. ; Isabell ; Köhler ; 10.4.1941 ; Düsseldorfer Str. 130 ; 86643 ; Rennertshofen ; 08434 / 29095491 ; 0152 / 6417364 ; 08434 / 22360110 ; i.koehler@mail.xyz ; ja
32 ; Frau ; Dr. ; Cathrin ; Henry ; 23.6.1949 ; Münzstr. 8 ; 65391 ; Lorch ; 06726 / 51607396 ; 0169 / 6312024 ; 06726 / 46629490 ; cathrin.henry@mail.xyz ; ja
33 ; Frau ; Prof. ; Angela ; Hoffmann ; 15.10.1953 ; Manfred-von-Richthofen-Str. 109 ; 25451 ; Quickborn ; 04106 / 11427385 ; 0165 / 6193372 ; 04106 / 21867221 ; a.hoffmann@mail.xyz ; ja
34 ; Frau ; Dr. ; Zoé ; Beck ; 22.4.1920 ; Hüfferstr. 188 ; 91244 ; Reichenschwand ; 09151 / 27894577 ; 0159 / 5777805 ; 09151 / 10946015 ; zoe.beck@mail.xyz ; ja
35 ; Frau ; Prof. ; Stephanie ; Meier ; 12.3.1960 ; Am Krausen Baum 200 ; 93494 ; Waffenbrunn ; 09971 / 66218980 ; 0173 / 3236697 ; 09971 / 37509635 ; stephanie.meier@mail.xyz ; ja
36 ; Frau ; Prof. ; Melina ; Carstens ; 18.4.1983 ; Wolbecker Str. 160 ; 29565 ; Wriedel ; 05829 / 77001211 ; 0177 / 9314547 ; 05829 / 91348784 ; m.carstens@mail.xyz ; ja
37 ; Herr ; Dr. ; Ingo ; Lane ; 14.12.1954 ; Neißestr. 18 ; 95346 ; Stadtsteinach ; 09225 / 60176035 ; 0165 / 6487596 ; 09225 / 81096604 ; i.lane@mail.xyz ; ja
38 ; Herr ; Dr. ; Lothar ; Hagel ; 16.4.1968 ; Manfred-von-Richthofen-Str. 6 ; 92271 ; Freihung ; 09646 / 56155135 ; 0177 / 4350397 ; 09646 / 71204338 ; lothar.hagel@mail.xyz ; ja
39 ; Herr ; Dr. ; Norbert ; Raür ; 25.5.1950 ; Paul-Engelhard-Weg 166 ; 24643 ; Struvenhütten ; 04194 / 18838688 ; 0177 / 6961000 ; 04194 / 34266996 ; norbert.rauer@mail.xyz ; ja
40 ; Frau ; Dr. ; Yasmin ; Schulze ; 9.2.1994 ; Kurze Str. 2 ; 54487 ; Wintrich ; 06534 / 25652311 ; 0160 / 7765104 ; 06534 / 9369447 ; y.schulze@mail.xyz ; ja
41 ; Herr ; Dr. ; Kian ; Waldmann ; 20.3.1934 ; Ripenhorst 183 ; 24994 ; Jardelund ; 04639 / 33781605 ; 0157 / 2927507 ; 04639 / 91423746 ; kian.waldmann@mail.xyz ; ja
42 ; Herr ; Dr. ; Timm ; Görtz ; 18.3.1941 ; Friedrich-Ebert-Str. 191 ; 17498 ; Levenhagen ; 03834 / 93268985 ; 0177 / 5263951 ; 03834 / 94964878 ; timm.goertz@mail.xyz ; ja
43 ; Frau ; Dr. ; Sabrina ; Haynes ; 12.12.1920 ; Gropiusstr. 161a ; 89335 ; Ichenhausen ; 08223 / 20428147 ; 0150 / 2672895 ; 08223 / 17521498 ; sabrina.haynes@mail.xyz ; ja
44 ; Herr ; Prof. ; Karsten ; Nitschke ; 13.12.1977 ; Ripenhorst 149 ; 71732 ; Tamm ; 07141 / 39355527 ; 0154 / 2906797 ; 07141 / 47479064 ; karsten.nitschke@mail.xyz ; ja
45 ; Herr ; Dr. ; Lukas ; Carson ; 3.7.1997 ; Goebenstr. 179 ; 71560 ; Sulzbach an der Murr ; 07193 / 73907423 ; 0156 / 4698385 ; 07193 / 93558537 ; lukas.carson@mail.xyz ; ja
46 ; Herr ; Dr. ; Mario ; Neuhaus ; 26.8.1974 ; Am Ziegelofen 47 ; 72138 ; Kirchentellinsfurt ; 07121 / 78619138 ; 0168 / 8008620 ; 07121 / 49140818 ; mario.neuhaus@mail.xyz ; ja
47 ; Herr ; Dr. ; Phil ; Harmon ; 3.7.1946 ; Ulmenweg 71 ; 86502 ; Laugna ; 08272 / 55697169 ; 0162 / 4252301 ; 08272 / 66600591 ; phil.harmon@mail.xyz ; ja
48 ; Herr ; Prof. ; Thomas ; Münstermann ; 21.11.1978 ; Unter Kahlenhausen 15 ; 24238 ; Martensrade ; 04384 / 48853068 ; 0166 / 7428638 ; 04384 / 11735056 ; t.muenstermann@mail.xyz ; ja
49 ; Frau ; Prof. ; Nina ; Kremer ; 26.11.1960 ; Breslauer Str. 104 ; 40221 ; Düsseldorf ; 0211 / 82291444 ; 0152 / 4621639 ; 0211 / 25426589 ; nina.kremer@mail.xyz ; ja
50 ; Frau ; Dr. ; Svenja ; Henderson ; 8.10.1970 ; Augustastr. 74 ; 55234 ; Esselborn ; 06731 / 67499829 ; 0155 / 7216096 ; 06731 / 33827940 ; s.henderson@mail.xyz ; ja
51 ; Frau ; Dr. ; Mandy ; Ehrmann ; 18.7.1922 ; Oscar-Wilde-Str. 49 ; 55765 ; Schmißberg ; 06782 / 49063973 ; 0166 / 7166745 ; 06782 / 72967373 ; mandy.ehrmann@mail.xyz ; ja
52 ; Frau ; Prof. ; Mara ; Neuendorf ; 10.1.1986 ; Soetenkamp 143 ; 74080 ; Heilbronn ; 07131 / 90583913 ; 0167 / 2662892 ; 07131 / 9200089 ; m.neuendorf@mail.xyz ; ja
