Nr. ; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  EMail ;  Newsletter
1 ; Herr ; Prof. ; Bernhardt ; Schaeffer ; 3.2.1949 ; Marsweg 92 ; 67283 ; Obrigheim ; 06359 / 73454711 ; 0158 / 9620291 ; 06359 / 18264714 ; bernhardt.schaeffer@mail.xyz ; ja
2 ; Herr ; Dr. ; Björn ; Ullmann ; 22.4.1999 ; Josef-Suwelack-Weg 78a ; 37242 ; Bad Sooden-Allendorf ; 05652 / 25740080 ; 0157 / 2333955 ; 05652 / 90909645 ; b.ullmann@mail.xyz ; ja
3 ; Frau ; Dr. ; Finnja ; Sievert ; 17.1.1938 ; Kempener Str. 54 ; 46519 ; Alpen ; 02802 / 50590011 ; 0163 / 9800348 ; 02802 / 89542926 ; finnja.sievert@mail.xyz ; ja
4 ; Frau ; Dr. ; Marlies ; Reineke ; 8.11.1984 ; Am Römerhof 153 ; 94250 ; Achslach ; 09929 / 83790605 ; 0167 / 9281588 ; 09929 / 31461121 ; marlies.reineke@mail.xyz ; ja
5 ; Herr ; Dr. ; Ole ; Gehrke ; 5.12.1950 ; Gottesweg 65 ; 27243 ; Groß Ippener ; 04224 / 14099331 ; 0154 / 7907609 ; 04224 / 14227811 ; ole.gehrke@mail.xyz ; ja
6 ; Frau ; Dr. ; Svenja ; Deckert ; 6.4.1996 ; Rinkerodeweg 90 ; 86872 ; Scherstetten ; 08239 / 6270078 ; 0158 / 5072230 ; 08239 / 42776933 ; svenja.deckert@mail.xyz ; ja
7 ; Herr ; Dr. ; Jeremie ; Tacke ; 27.7.1973 ; Von-der-Tinnen-Str. 7 ; 85757 ; Karlsfeld ; 08131 / 65299519 ; 0159 / 9118209 ; 08131 / 55633114 ; jeremie.tacke@mail.xyz ; ja
8 ; Frau ; Dr. ; Sophie ; Wagenknecht ; 4.2.1934 ; Kanalstr. 13 ; 24214 ; Lindau ; 04346 / 68097193 ; 0167 / 6619511 ; 04346 / 23711506 ; s.wagenknecht@mail.xyz ; ja
9 ; Frau ; Dr. ; Emily ; Tempel ; 13.4.1972 ; Weseler Str. 26 ; 23881 ; Lankau ; 04543 / 4332702 ; 0154 / 8615138 ; 04543 / 48555880 ; emily.tempel@mail.xyz ; ja
10 ; Herr ; Dr. ; Bjarne ; Elliott ; 23.9.1981 ; Südstr. 133 ; 55481 ; Kludenbach ; 06763 / 72956261 ; 0179 / 6190933 ; 06763 / 19577735 ; bjarne.elliott@mail.xyz ; ja
11 ; Frau ; Dr. ; Kristine ; Lederer ; 12.3.1961 ; Oscar-Wilde-Str. 23 ; 89367 ; Waldstetten ; 08223 / 34141964 ; 0179 / 8747883 ; 08223 / 24190028 ; kristine.lederer@mail.xyz ; ja
12 ; Herr ; Dr. ; Lucas ; Hackbarth ; 26.8.1999 ; Zur Wiese 76 ; 92536 ; Pfreimd ; 09606 / 50843853 ; 0156 / 1854741 ; 09606 / 26454577 ; l.hackbarth@mail.xyz ; ja
13 ; Herr ; Dr. ; Fabian ; Fritzsche ; 12.10.1959 ; Angelstr. 105 ; 72393 ; Burladingen ; 07475 / 31982442 ; 0179 / 4098676 ; 07475 / 3294913 ; f.fritzsche@mail.xyz ; ja
14 ; Herr ; Dr. ; Wolfgang ; Fauser ; 16.6.1973 ; Von-Holte-Str. 78 ; 19089 ; Wessin ; 03863 / 39416845 ; 0150 / 4870786 ; 03863 / 63193235 ; wolfgang.fauser@mail.xyz ; ja
15 ; Frau ; Dr. ; Heidi ; Zorn ; 27.7.1992 ; Am Burloh 179 ; 24220 ; Böhnhusen ; 04347 / 39980569 ; 0151 / 3893596 ; 04347 / 63695694 ; h.zorn@mail.xyz ; ja
16 ; Frau ; Dr. ; Anneliese ; Deiss ; 1.8.1941 ; Albachtener Str. 55 ; 01587 ; Riesa ; 03525 / 73997722 ; 0168 / 8715272 ; 03525 / 3331400 ; anneliese.deiss@mail.xyz ; ja
17 ; Frau ; Dr. ; Zoé ; Roos ; 15.11.1949 ; Zur Gräfte 175 ; 21682 ; Stade ; 04141 / 42518487 ; 0171 / 9080532 ; 04141 / 80759634 ; zoe.roos@mail.xyz ; ja
18 ; Frau ; Dr. ; Ingrid ; Sandner ; 11.10.1969 ; Dreilinden 181 ; 94359 ; Loitzendorf ; 09964 / 79198312 ; 0160 / 8317099 ; 09964 / 19200918 ; i.sandner@mail.xyz ; ja
19 ; Frau ; Dr. ; Lucie ; Brown ; 9.1.1965 ; Möserweg 10 ; 45896 ; Gelsenkirchen ; 0209 / 10433355 ; 0162 / 1836936 ; 0209 / 94410142 ; l.brown@mail.xyz ; ja
20 ; Herr ; Dr. ; Piet ; Häberle ; 18.4.1966 ; Eulenbergstr. 182 ; 24623 ; Großenaspe ; 04327 / 8294843 ; 0156 / 5084213 ; 04327 / 84340213 ; p.haeberle@mail.xyz ; ja
21 ; Frau ; Dr. ; Waltraut ; Puls ; 10.11.1988 ; Am Getterbach 116 ; 37083 ; Göttingen ; 0551 / 45036759 ; 0164 / 5290958 ; 0551 / 71228679 ; w.puls@mail.xyz ; ja
22 ; Herr ; Dr. ; Jean ; Aust ; 5.8.1960 ; Wolbecker Str. 99 ; 06667 ; Uichteritz ; 03443 / 26043602 ; 0161 / 8011571 ; 03443 / 5037614 ; j.aust@mail.xyz ; ja
23 ; Herr ; Prof. ; Rainer ; Hage ; 20.2.1978 ; Mierendorffstr. 126 ; 06792 ; Sandersdorf-Anhalt ; 03493 / 40952012 ; 0168 / 4751567 ; 03493 / 19847775 ; r.hage@mail.xyz ; ja
24 ; Herr ; Dr. ; Gerhard ; Lüth ; 11.6.1922 ; Sentmaringer Weg 146a ; 39122 ; Magdeburg ; 0391 / 3404716 ; 0158 / 4077798 ; 0391 / 12421053 ; gerhard.lueth@mail.xyz ; ja
25 ; Frau ; Dr. ; Nelli ; Alber ; 27.7.1974 ; Gildenstr. 39 ; 24354 ; Rieseby ; 04355 / 77891035 ; 0171 / 4482288 ; 04355 / 24355172 ; n.alber@mail.xyz ; ja
26 ; Herr ; Dr. ; Keno ; Lowe ; 23.1.1977 ; Südstr. 97 ; 67435 ; Neustadt an der Weinstraße ; 06321 / 51210070 ; 0151 / 4362183 ; 06321 / 83966744 ; keno.lowe@mail.xyz ; ja
27 ; Frau ; Dr. ; Jana ; Auer ; 28.1.1964 ; Wolbecker Str. 187 ; 54675 ; Nusbaum ; 06564 / 20219188 ; 0156 / 2453954 ; 06564 / 32765154 ; j.auer@mail.xyz ; ja
