Nr. ; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  EMail ;  Newsletter
1 ; Herr ; Dr. ; Ralph ; Schneider ; 20.11.1937 ; Berrischstr. 30 ; 59823 ; Arnsberg ; 02931 / 38821917 ; 0167 / 1058489 ; 02931 / 48696426 ; ralph.schneider@mail.xyz ; ja
2 ; Frau ; Dr. ; Angelina ; Bröker ; 6.8.1958 ; Catharina-Müller-Str. 191 ; 94094 ; Malching ; 08573 / 66383714 ; 0169 / 5780764 ; 08573 / 11764746 ; a.broeker@mail.xyz ; ja
3 ; Frau ; Dr. ; Jette ; Schell ; 28.8.1946 ; Flaßkuhl 122 ; 63879 ; Weibersbrunn ; 06094 / 48471518 ; 0150 / 4999067 ; 06094 / 858585 ; j.schell@mail.xyz ; ja
4 ; Herr ; Dr. ; Niels ; Uhlenbrock ; 1.10.1971 ; Friesenring 96 ; 57572 ; Harbach ; 02741 / 2979772 ; 0151 / 5665390 ; 02741 / 63574403 ; n.uhlenbrock@mail.xyz ; ja
5 ; Frau ; Dr. ; Tabea ; Bamberg ; 8.1.1957 ; Dreilinden 66 ; 29693 ; Eickeloh ; 05164 / 41495558 ; 0171 / 3557058 ; 05164 / 35606831 ; t.bamberg@mail.xyz ; ja
6 ; Herr ; Dr. ; Kurt ; Volk ; 11.6.1986 ; Im Stemmen 190 ; 85646 ; Anzing ; 08121 / 6418116 ; 0166 / 7315784 ; 08121 / 80064281 ; k.volk@mail.xyz ; ja
7 ; Herr ; Prof. ; Benedict ; Wichmann ; 19.11.1942 ; Mindener Str. 106 ; 01454 ; Wachau ; 03528 / 20993538 ; 0164 / 3748601 ; 03528 / 33290641 ; benedict.wichmann@mail.xyz ; ja
8 ; Frau ; Dr. ; Sofie ; Zimmerman ; 12.8.1995 ; Rektoratsweg 73 ; 70376 ; Stuttgart ; 0711 / 55262125 ; 0151 / 8743160 ; 0711 / 16573671 ; s.zimmerman@mail.xyz ; ja
9 ; Frau ; Dr. ; Gina ; Zuschuss ; 25.5.1972 ; Kreuzstr. 98 ; 25797 ; Ketelsbüttel ; 04839 / 41600640 ; 0157 / 3407107 ; 04839 / 50811993 ; g.zuschuss@mail.xyz ; ja
10 ; Herr ; Prof. ; Damian ; Heinrich ; 8.9.1982 ; Josef-Suwelack-Weg 154 ; 12305 ; Berlin ; 030 / 28808737 ; 0178 / 1640129 ; 030 / 95778813 ; d.heinrich@mail.xyz ; ja
11 ; Frau ; Dr. ; Klaudia ; Schreiber ; 22.4.1943 ; Goldregenweg 80 ; 54668 ; Ferschweiler ; 06525 / 76085295 ; 0166 / 8100203 ; 06525 / 36423720 ; klaudia.schreiber@mail.xyz ; ja
12 ; Herr ; Dr. ; Bennet ; Brill ; 9.7.1984 ; Augustastr. 141 ; 67294 ; Rittersheim ; 06352 / 46560204 ; 0158 / 1076918 ; 06352 / 75765924 ; b.brill@mail.xyz ; ja
13 ; Herr ; Dr. ; Thies ; Fahl ; 21.4.1994 ; Erikahof 196 ; 96361 ; Steinbach am Wald ; 09263 / 63321016 ; 0168 / 7995116 ; 09263 / 37030581 ; t.fahl@mail.xyz ; ja
