Nr. ; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  EMail ;  Newsletter
1 ; Herr ; Dr. ; Luc ; Kaluza ; 25.11.1941 ; Max-Winkelmann-Str. 100 ; 16547 ; Birkenwerder ; 03303 / 30632831 ; 0176 / 4608417 ; 03303 / 86135953 ; luc.kaluza@mail.xyz ; ja
2 ; Frau ; Dr. ; Emilia ; Wilkins ; 6.4.1951 ; Münsterstr. 104 ; 63857 ; Waldaschaff ; 06095 / 50946759 ; 0163 / 9114689 ; 06095 / 68583029 ; e.wilkins@mail.xyz ; ja
3 ; Frau ; Dr. ; Dagmar ; Reimers ; 26.3.1952 ; Pankokstr. 89 ; 25876 ; Süderhöft ; 04841 / 70690990 ; 0152 / 2324326 ; 04841 / 39928251 ; dagmar.reimers@mail.xyz ; ja
4 ; Frau ; Dr. ; Annica ; Strauss ; 3.2.1920 ; Pankokstr. 162 ; 28219 ; Bremen ; 0421 / 58340165 ; 0154 / 6406127 ; 0421 / 61454678 ; a.strauss@mail.xyz ; ja
5 ; Herr ; Dr. ; Lorenz ; Nitsche ; 6.9.1955 ; Wormser Str. 160a ; 17498 ; Weitenhagen ; 03834 / 57846862 ; 0164 / 3159873 ; 03834 / 2252722 ; l.nitsche@mail.xyz ; ja
6 ; Herr ; Dr. ; Enrico ; Held ; 9.10.1922 ; Vorgebirgstr. 120 ; 55743 ; Kirschweiler ; 06785 / 11821637 ; 0151 / 1557799 ; 06785 / 73406170 ; e.held@mail.xyz ; ja
7 ; Frau ; Dr. ; Britta ; Hintz ; 17.7.1970 ; Hillscheider Weg 40 ; 23863 ; Bargfeld ; 04532 / 80938443 ; 0165 / 5244595 ; 04532 / 81881813 ; b.hintz@mail.xyz ; ja
8 ; Frau ; Dr. ; Gina ; Brinkmann ; 10.11.1956 ; Angelstr. 130 ; 60435 ; Frankfurt am Main ; 069 / 25935355 ; 0164 / 5398955 ; 069 / 44991729 ; g.brinkmann@mail.xyz ; ja
9 ; Herr ; Dr. ; Sascha ; Ludwig ; 13.3.1963 ; Paul-Engelhard-Weg 76a ; 34632 ; Jesberg ; 06695 / 14321434 ; 0163 / 4559842 ; 06695 / 92216212 ; s.ludwig@mail.xyz ; ja
10 ; Frau ; Dr. ; Heidi ; Denk ; 9.12.1970 ; Breslauer Str. 166a ; 57399 ; Kirchhundem ; 02723 / 64037170 ; 0150 / 1983597 ; 02723 / 22783155 ; heidi.denk@mail.xyz ; ja
11 ; Frau ; Dr. ; Margot ; Hirte ; 4.2.1989 ; Mondstr. 149 ; 56593 ; Krunkel ; 02685 / 63539913 ; 0165 / 9603265 ; 02685 / 26775891 ; margot.hirte@mail.xyz ; ja
12 ; Frau ; Dr. ; Elena ; Freitag ; 11.2.1920 ; Im Sonnentau 31 ; 56283 ; Ney ; 06747 / 2643339 ; 0160 / 5734459 ; 06747 / 99425087 ; e.freitag@mail.xyz ; ja
13 ; Frau ; Dr. ; Leoni ; Berger ; 8.12.1996 ; Rohrkampstr. 126 ; 08371 ; Glauchau ; 03763 / 94413093 ; 0159 / 3263376 ; 03763 / 11001370 ; l.berger@mail.xyz ; ja
14 ; Frau ; Dr. ; Erna ; Marquart ; 5.5.1952 ; Franz-Peter-Kürten-Weg 113 ; 25548 ; Wittenbergen ; 04822 / 44276006 ; 0173 / 2269498 ; 04822 / 89045861 ; e.marquart@mail.xyz ; ja
15 ; Frau ; Dr. ; Nina ; Hirth ; 3.8.1926 ; Overbergstr. 183 ; 66907 ; Rehweiler ; 06383 / 16673809 ; 0166 / 4405020 ; 06383 / 5354148 ; nina.hirth@mail.xyz ; ja
16 ; Herr ; Dr. ; Claus ; Wenzel ; 15.2.1966 ; Eifelstr. 158 ; 37308 ; Bodenrode-Westhausen ; 03606 / 43384708 ; 0157 / 5363974 ; 03606 / 28212901 ; c.wenzel@mail.xyz ; ja
17 ; Frau ; Prof. ; Smilla ; Schell ; 15.5.1956 ; Flaßkuhl 146 ; 66887 ; Welchweiler ; 06381 / 58228081 ; 0179 / 1200723 ; 06381 / 88057658 ; smilla.schell@mail.xyz ; ja
18 ; Frau ; Dr. ; Janina ; Noack ; 9.1.1941 ; Gartenstr. 143 ; 84384 ; Wittibreut ; 08574 / 39179481 ; 0153 / 6522264 ; 08574 / 12914450 ; janina.noack@mail.xyz ; ja
19 ; Frau ; Dr. ; Chantall ; Steiger ; 27.6.1969 ; Guntherstr. 141 ; 91287 ; Plech ; 09244 / 28553428 ; 0161 / 6716826 ; 09244 / 58105779 ; chantall.steiger@mail.xyz ; ja
20 ; Herr ; Dr. ; Dustin ; Wessels ; 3.6.1921 ; Schützenstr. 181a ; 49594 ; Alfhausen ; 05464 / 15235766 ; 0165 / 3763096 ; 05464 / 25889490 ; d.wessels@mail.xyz ; ja
21 ; Frau ; Prof. ; Nadine ; Ziller ; 3.2.1924 ; Buldernweg 126 ; 84335 ; Mitterskirchen ; 08725 / 43827172 ; 0175 / 6571761 ; 08725 / 4952167 ; nadine.ziller@mail.xyz ; ja
22 ; Herr ; Dr. ; Anton ; Arnold ; 20.1.1931 ; Ostlandstr. 103 ; 95695 ; Mähring ; 09639 / 68778908 ; 0174 / 6561356 ; 09639 / 98664236 ; a.arnold@mail.xyz ; ja
23 ; Frau ; Prof. ; Waltraud ; Heil ; 6.12.1942 ; Münzstr. 25 ; 66894 ; Martinshöhe ; 06372 / 74101030 ; 0162 / 9400827 ; 06372 / 77454455 ; waltraud.heil@mail.xyz ; ja
24 ; Herr ; Dr. ; Kilian ; Bott ; 23.7.1992 ; Alte Apotheke 143 ; 14057 ; Charlottenburg-Wilmersdorf ; 030 / 38643397 ; 0159 / 2740596 ; 030 / 95443033 ; kilian.bott@mail.xyz ; ja
25 ; Frau ; Dr. ; Sofie ; Andres ; 18.2.1943 ; Am Burloh 53 ; 54673 ; Berscheid ; 06564 / 78855649 ; 0159 / 9499395 ; 06564 / 12739212 ; s.andres@mail.xyz ; ja
26 ; Herr ; Dr. ; Mohamed ; Ganter ; 4.10.1985 ; Horstmarer Landweg 137 ; 57482 ; Wenden ; 02762 / 68952799 ; 0173 / 7537242 ; 02762 / 31467630 ; mohamed.ganter@mail.xyz ; ja
27 ; Herr ; Dr. ; Carl ; Dittmann ; 3.2.1933 ; Papenbusch 11 ; 01217 ; Dresden ; 0351 / 32299222 ; 0175 / 4549431 ; 0351 / 86305696 ; carl.dittmann@mail.xyz ; ja
28 ; Frau ; Prof. ; Aleyna ; Provinzial ; 26.1.1924 ; Guntherstr. 20 ; 86479 ; Aichen ; 08284 / 87337062 ; 0175 / 6191999 ; 08284 / 47076485 ; a.provinzial@mail.xyz ; ja
29 ; Frau ; Dr. ; Selina ; Jahnke ; 20.8.1987 ; Gropiusstr. 33 ; 61194 ; Niddatal ; 06034 / 43184545 ; 0164 / 9367575 ; 06034 / 76839299 ; s.jahnke@mail.xyz ; ja
30 ; Herr ; Dr. ; Bernhardt ; Haak ; 16.1.1983 ; Augustastr. 10 ; 87770 ; Oberschönegg ; 08333 / 50660353 ; 0175 / 9428666 ; 08333 / 65220112 ; bernhardt.haak@mail.xyz ; ja
31 ; Frau ; Prof. ; Jutta ; Gehlen ; 23.3.1977 ; Am Grauen Stein 158 ; 67744 ; Kirrweiler ; 06382 / 53835597 ; 0173 / 7049152 ; 06382 / 32778557 ; j.gehlen@mail.xyz ; ja
32 ; Frau ; Dr. ; Birgit ; Marsh ; 19.5.1994 ; Am Krausen Baum 40 ; 18258 ; Wiendorf ; 03844 / 84256993 ; 0163 / 8245517 ; 03844 / 37991075 ; birgit.marsh@mail.xyz ; ja
33 ; Frau ; Dr. ; Martha ; Kaczmarek ; 8.12.1940 ; Werseblick 24 ; 96185 ; Schönbrunn ; 09546 / 80241927 ; 0170 / 7888957 ; 09546 / 99107219 ; martha.kaczmarek@mail.xyz ; ja
34 ; Herr ; Dr. ; Marius ; Schröder ; 28.5.1929 ; Templerweg 29a ; 56357 ; Lipporn ; 06772 / 52806570 ; 0173 / 8952299 ; 06772 / 14325310 ; m.schroeder@mail.xyz ; ja
35 ; Frau ; Dr. ; Hanna ; Rose ; 3.6.1983 ; Zur Wiese 66 ; 92284 ; Traßlberg ; 09621 / 24920391 ; 0165 / 4748541 ; 09621 / 69123452 ; h.rose@mail.xyz ; ja
36 ; Frau ; Prof. ; Nathalie ; Laux ; 9.6.1979 ; Meesenstiege 164 ; 74862 ; Binau ; 06263 / 7976736 ; 0155 / 2664354 ; 06263 / 94279081 ; nathalie.laux@mail.xyz ; ja
37 ; Frau ; Dr. ; Magdalena ; Busche ; 9.9.1989 ; Im Haubenfeld 35 ; 94239 ; Gotteszell ; 09929 / 31524182 ; 0172 / 4586349 ; 09929 / 11493233 ; magdalena.busche@mail.xyz ; ja
38 ; Herr ; Dr. ; Kurt ; Garrett ; 18.10.1961 ; Handorfer Str. 10 ; 08523 ; Plauen ; 03741 / 30481767 ; 0178 / 2558441 ; 03741 / 54039427 ; kurt.garrett@mail.xyz ; ja
39 ; Frau ; Dr. ; Paulina ; Kastner ; 26.6.1987 ; Parkallee 190 ; 56269 ; Dierdorf ; 02689 / 930365 ; 0154 / 2760498 ; 02689 / 10476194 ; paulina.kastner@mail.xyz ; ja
40 ; Frau ; Prof. ; Linn ; Ward ; 13.9.1920 ; Marsweg 111 ; 94244 ; Teisnach ; 09923 / 66556252 ; 0172 / 4533737 ; 09923 / 21356004 ; linn.ward@mail.xyz ; ja
41 ; Herr ; Dr. ; Mathies ; Eckl ; 24.9.1964 ; Oberschlesier Str. 192 ; 59759 ; Arnsberg ; 02931 / 58819595 ; 0163 / 9711489 ; 02931 / 12278703 ; mathies.eckl@mail.xyz ; ja
42 ; Herr ; Dr. ; Thorsten ; Curry ; 8.3.1931 ; Weseler Str. 82 ; 37447 ; Wieda ; 05586 / 96835344 ; 0161 / 1306220 ; 05586 / 30690789 ; thorsten.curry@mail.xyz ; ja
43 ; Frau ; Prof. ; Karina ; Hantke ; 3.1.1935 ; Dreilinden 51 ; 52064 ; Aachen ; 0241 / 94522559 ; 0167 / 2034631 ; 0241 / 9442146 ; karina.hantke@mail.xyz ; ja
44 ; Frau ; Prof. ; Janine ; Keller ; 22.12.1945 ; Am Blütenhain 42 ; 26169 ; Friesoythe ; 04491 / 12138429 ; 0168 / 1113401 ; 04491 / 75703000 ; j.keller@mail.xyz ; ja
45 ; Frau ; Dr. ; Carlotta ; Reiss ; 22.9.1928 ; Mariendorfer Str. 80 ; 23911 ; Kulpin ; 04541 / 89158230 ; 0160 / 7831362 ; 04541 / 80324045 ; carlotta.reiss@mail.xyz ; ja
46 ; Herr ; Dr. ; Emil ; Drake ; 2.7.1941 ; Im Draum 100 ; 21763 ; Neuenkirchen ; 04751 / 20845860 ; 0172 / 6969131 ; 04751 / 68651334 ; e.drake@mail.xyz ; ja
47 ; Herr ; Dr. ; Antonio ; Hof ; 16.11.1936 ; Lammerbach 72 ; 55758 ; Mackenrodt ; 06785 / 22877622 ; 0168 / 5794471 ; 06785 / 94638682 ; antonio.hof@mail.xyz ; ja
48 ; Herr ; Dr. ; Lorenz ; Zabel ; 25.4.1955 ; Drachterstr. 107 ; 88212 ; Ravensburg ; 0751 / 36755068 ; 0161 / 9374496 ; 0751 / 85946813 ; l.zabel@mail.xyz ; ja
49 ; Frau ; Prof. ; Hildegard ; Albrecht ; 15.9.1967 ; Hogenbergstr. 31 ; 74838 ; Limbach ; 06287 / 65504646 ; 0178 / 3704089 ; 06287 / 38698180 ; hildegard.albrecht@mail.xyz ; ja
50 ; Frau ; Dr. ; Astrid ; Carmen ; 25.8.1963 ; Gleueler Str. 68 ; 36433 ; Leimbach ; 03695 / 5310044 ; 0178 / 5967859 ; 03695 / 6346101 ; astrid.carmen@mail.xyz ; ja
51 ; Herr ; Dr. ; Magnus ; Kath ; 16.6.1947 ; Simon-Meister-Str. 72 ; 54518 ; Gladbach ; 06571 / 48659589 ; 0173 / 3742537 ; 06571 / 33432749 ; m.kath@mail.xyz ; ja
52 ; Frau ; Dr. ; Alexa ; Wiemer ; 7.8.1951 ; Elsa-Brändström-Weg 9 ; 25764 ; Friedrichsgabekoog ; 04839 / 10021424 ; 0164 / 3996200 ; 04839 / 83769621 ; alexa.wiemer@mail.xyz ; ja
53 ; Herr ; Dr. ; Swen ; Brettschneider ; 6.3.1991 ; Erpeler Str. 148 ; 38159 ; Vechelde ; 05302 / 53654796 ; 0176 / 2361729 ; 05302 / 28450970 ; swen.brettschneider@mail.xyz ; ja
54 ; Frau ; Dr. ; Smilla ; Holland ; 11.4.1920 ; Mondstr. 184 ; 54483 ; Kleinich ; 06536 / 97298491 ; 0179 / 9668045 ; 06536 / 81743856 ; s.holland@mail.xyz ; ja
