Nr. ; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  EMail ;  Newsletter
1 ; Frau ; Dr. ; Laila ; Marshall ; 13.3.1933 ; Magdalenenstr. 92 ; 30880 ; Laatzen ; 05102 / 96408219 ; 0169 / 3035846 ; 05102 / 54648243 ; l.marshall@mail.xyz ; ja
2 ; Herr ; Dr. ; Benedikt ; Schultheiss ; 1.10.1985 ; Meckmannweg 81a ; 18106 ; Rostock ; 0381 / 19273623 ; 0176 / 9955512 ; 0381 / 68760056 ; benedikt.schultheiss@mail.xyz ; ja
3 ; Herr ; Prof. ; Gerd ; Markert ; 20.1.1992 ; Vorgebirgstr. 51 ; 29581 ; Gerdau ; 05808 / 28553552 ; 0177 / 3793299 ; 05808 / 68824767 ; gerd.markert@mail.xyz ; ja
4 ; Herr ; Dr. ; Walther ; Steinbach ; 16.8.1929 ; Soetenkamp 173 ; 27449 ; Kutenholz ; 04762 / 18510620 ; 0157 / 9970019 ; 04762 / 53753237 ; w.steinbach@mail.xyz ; ja
5 ; Frau ; Dr. ; Alina ; Kunz ; 23.5.1955 ; Morthorststr. 113 ; 17237 ; Grünow ; 03981 / 13280183 ; 0169 / 9110682 ; 03981 / 79384415 ; alina.kunz@mail.xyz ; ja
6 ; Herr ; Prof. ; Joschua ; Schütt ; 17.11.1955 ; Hülsebrockstr. 23 ; 51688 ; Wipperfürth ; 02267 / 96549382 ; 0158 / 9199455 ; 02267 / 13104184 ; j.schuett@mail.xyz ; ja
7 ; Frau ; Prof. ; Romy ; Wink ; 16.9.1982 ; Hensenstr. 104 ; 71263 ; Weil der Stadt ; 07033 / 47308827 ; 0167 / 7511108 ; 07033 / 93624602 ; r.wink@mail.xyz ; ja
8 ; Herr ; Dr. ; Arne ; Dorn ; 15.2.1958 ; Werkstattstr. 5 ; 78048 ; Villingen-Schwenningen ; 07721 / 36879670 ; 0163 / 4988908 ; 07721 / 48972453 ; a.dorn@mail.xyz ; ja
9 ; Herr ; Prof. ; Julian ; Marschner ; 11.11.1930 ; Im Sonnentau 8 ; 02763 ; Mittelherwigsdorf ; 03583 / 22167739 ; 0173 / 3558857 ; 03583 / 35484236 ; julian.marschner@mail.xyz ; ja
10 ; Frau ; Dr. ; Mandy ; Göbel ; 7.2.1989 ; Papenbusch 109 ; 87534 ; Oberstaufen ; 08386 / 82023352 ; 0159 / 4086225 ; 08386 / 66702943 ; m.goebel@mail.xyz ; ja
11 ; Herr ; Dr. ; Karlo ; Ballmann ; 26.11.1999 ; Kochwiesenstr. 165 ; 66996 ; Schönau ; 06391 / 47416180 ; 0168 / 4995144 ; 06391 / 34047268 ; karlo.ballmann@mail.xyz ; ja
12 ; Frau ; Dr. ; Vanessa ; Jacoby ; 6.10.1971 ; Marsweg 196 ; 24326 ; Stocksee ; 04323 / 67612765 ; 0174 / 6014067 ; 04323 / 41905498 ; vanessa.jacoby@mail.xyz ; ja
