Nr. ; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  EMail ;  Newsletter
1 ; Herr ; Prof. ; Till ; Grosse ; 9.9.1989 ; Johann-Krane-Weg 84 ; 31867 ; Lauenau ; 05043 / 544950 ; 0154 / 2075895 ; 05043 / 40768725 ; till.grosse@mail.xyz ; ja
2 ; Frau ; Dr. ; Marlene ; Ihle ; 17.10.1976 ; Vorgebirgstr. 15 ; 80637 ; München ; 089 / 54241669 ; 0155 / 3948397 ; 089 / 43254459 ; marlene.ihle@mail.xyz ; ja
3 ; Herr ; Dr. ; Luke ; Hensel ; 16.8.1997 ; Am Filk 27 ; 06618 ; Naumburg ; 03445 / 37250946 ; 0152 / 1228579 ; 03445 / 94266140 ; luke.hensel@mail.xyz ; ja
4 ; Frau ; Dr. ; Leonie ; Reimers ; 17.12.1962 ; Soester Str. 57 ; 89171 ; Illerkirchberg ; 07346 / 94842738 ; 0162 / 8837360 ; 07346 / 32215731 ; leonie.reimers@mail.xyz ; ja
5 ; Frau ; Prof. ; Jacqueline ; Steinert ; 25.2.1992 ; Münsterstr. 107 ; 86517 ; Wehringen ; 08234 / 97075302 ; 0151 / 7147306 ; 08234 / 24291001 ; j.steinert@mail.xyz ; ja
6 ; Herr ; Dr. ; Ralf ; Feiler ; 14.9.1962 ; Dreilinden 29 ; 54439 ; Palzem ; 06583 / 35560978 ; 0168 / 7483506 ; 06583 / 65068013 ; r.feiler@mail.xyz ; ja
7 ; Herr ; Dr. ; Niels ; Nowak ; 25.6.1991 ; Hülsebrockstr. 150 ; 79215 ; Biederbach ; 07682 / 42216570 ; 0153 / 4727157 ; 07682 / 77110701 ; niels.nowak@mail.xyz ; ja
8 ; Herr ; Dr. ; Herbert ; Lüke ; 7.7.1926 ; Offerkämpe 3 ; 56767 ; Mosbruch ; 02692 / 55885625 ; 0164 / 9048937 ; 02692 / 75661082 ; herbert.lueke@mail.xyz ; ja
9 ; Herr ; Dr. ; Jakob ; Schaffrath ; 13.11.1996 ; Schiffahrter Damm 93 ; 74744 ; Ahorn ; 06296 / 56427939 ; 0164 / 6052285 ; 06296 / 34342978 ; jakob.schaffrath@mail.xyz ; ja
10 ; Herr ; Dr. ; Klaus ; Gebhard ; 6.2.1921 ; Ostlandstr. 65 ; 27251 ; Neuenkirchen ; 04245 / 59088882 ; 0162 / 6728243 ; 04245 / 32491098 ; klaus.gebhard@mail.xyz ; ja
11 ; Herr ; Dr. ; Emre ; Schuhmacher ; 16.9.1973 ; Buldernweg 116 ; 04552 ; Wyhratal ; 03433 / 35512942 ; 0166 / 1997557 ; 03433 / 4669540 ; emre.schuhmacher@mail.xyz ; ja
12 ; Herr ; Dr. ; Karsten ; Hagel ; 12.1.1969 ; Rinscheweg 7 ; 67817 ; Imsbach ; 06302 / 15907092 ; 0166 / 8230127 ; 06302 / 3695502 ; karsten.hagel@mail.xyz ; ja
13 ; Frau ; Prof. ; Sofie ; Pasch ; 21.4.1994 ; Am Grauen Stein 140a ; 67822 ; Oberhausen an der Appel ; 06362 / 69703362 ; 0156 / 1948113 ; 06362 / 60257769 ; sofie.pasch@mail.xyz ; ja
14 ; Herr ; Dr. ; Steven ; Christ ; 22.8.1927 ; Von-Holte-Str. 49 ; 53534 ; Barweiler ; 02691 / 30321490 ; 0177 / 7184457 ; 02691 / 32603236 ; steven.christ@mail.xyz ; ja
15 ; Herr ; Prof. ; Simon ; Wehrle ; 20.6.1979 ; Skagerrakstr. 127 ; 76773 ; Kuhardt ; 07272 / 97740061 ; 0165 / 5832690 ; 07272 / 51993267 ; simon.wehrle@mail.xyz ; ja
16 ; Frau ; Prof. ; Sina ; Kauer ; 1.10.1992 ; Kempener Str. 82 ; 17489 ; Greifswald ; 03834 / 7007064 ; 0162 / 4196878 ; 03834 / 55039837 ; sina.kauer@mail.xyz ; ja
17 ; Frau ; Dr. ; Andrea ; Pusch ; 6.6.1922 ; Dorotheenstr. 161 ; 97478 ; Knetzgau ; 09527 / 88820239 ; 0166 / 3705002 ; 09527 / 28361968 ; a.pusch@mail.xyz ; ja
18 ; Frau ; Dr. ; Birgit ; Groth ; 3.10.1961 ; Dahlienweg 192 ; 95473 ; Haag ; 09270 / 24353291 ; 0156 / 4785774 ; 09270 / 25456276 ; b.groth@mail.xyz ; ja
19 ; Herr ; Dr. ; Phil ; Späth ; 16.12.1988 ; Wolbecker Str. 103 ; 29303 ; Bergen ; 05051 / 86940752 ; 0165 / 2072153 ; 05051 / 61097149 ; p.spaeth@mail.xyz ; ja
20 ; Frau ; Dr. ; Mia ; Münstermann ; 18.2.1990 ; Dahlweg 59 ; 71065 ; Sindelfingen ; 07031 / 26109693 ; 0179 / 2075711 ; 07031 / 3168279 ; m.muenstermann@mail.xyz ; ja
21 ; Frau ; Prof. ; Mara ; Temme ; 22.3.1979 ; Innsbruckweg 178 ; 07381 ; Oppurg ; 03647 / 61402896 ; 0175 / 2610249 ; 03647 / 45243905 ; m.temme@mail.xyz ; ja
22 ; Frau ; Dr. ; Greta ; Kock ; 1.5.1939 ; Kappenberger Damm 200 ; 10719 ; Berlin ; 030 / 67215713 ; 0153 / 5640117 ; 030 / 93402961 ; greta.kock@mail.xyz ; ja
23 ; Herr ; Dr. ; Luca ; Schaarschmidt ; 21.4.1997 ; Overbergstr. 28 ; 31868 ; Ottenstein ; 05286 / 52236607 ; 0155 / 6498290 ; 05286 / 28008960 ; luca.schaarschmidt@mail.xyz ; ja
24 ; Frau ; Dr. ; Julie ; Hogan ; 11.5.1994 ; Gescherweg 57 ; 64287 ; Darmstadt ; 06151 / 57887952 ; 0166 / 8109211 ; 06151 / 24323735 ; julie.hogan@mail.xyz ; ja
25 ; Herr ; Dr. ; Helmut ; Reiss ; 28.3.1949 ; Wolbecker Str. 173 ; 01326 ; Dresden ; 0351 / 36321158 ; 0164 / 6108881 ; 0351 / 40122547 ; helmut.reiss@mail.xyz ; ja
26 ; Frau ; Dr. ; Lotta ; Radermacher ; 2.4.1988 ; Nieland 11 ; 23626 ; Ratekau ; 04504 / 26414184 ; 0151 / 3402674 ; 04504 / 31657534 ; l.radermacher@mail.xyz ; ja
27 ; Herr ; Dr. ; Helmuth ; Hirschfeld ; 19.11.1965 ; Erpeler Str. 57 ; 18258 ; Rukieten ; 03844 / 51611744 ; 0179 / 1692725 ; 03844 / 59173733 ; h.hirschfeld@mail.xyz ; ja
28 ; Herr ; Dr. ; Lucas ; Popp ; 10.2.1932 ; Meinertzstr. 171 ; 19089 ; Bülow ; 03863 / 24500842 ; 0157 / 2613418 ; 03863 / 41417229 ; l.popp@mail.xyz ; ja
29 ; Herr ; Prof. ; Thore ; Saupe ; 22.6.1981 ; Johanniterstr. 56 ; 66996 ; Hirschthal ; 06391 / 734480 ; 0154 / 9409644 ; 06391 / 75285002 ; t.saupe@mail.xyz ; ja
30 ; Frau ; Prof. ; Lina ; Hense ; 17.2.1964 ; Zum Guten Hirten 123 ; 01169 ; Dresden ; 0351 / 35433884 ; 0160 / 8496560 ; 0351 / 29633431 ; l.hense@mail.xyz ; ja
31 ; Frau ; Dr. ; Katja ; Gerhardt ; 14.10.1997 ; Augustastr. 93 ; 91054 ; Erlangen ; 09131 / 44934146 ; 0169 / 5659255 ; 09131 / 38683210 ; katja.gerhardt@mail.xyz ; ja
32 ; Herr ; Prof. ; Malte ; Barker ; 7.8.1923 ; Kempener Str. 87 ; 24398 ; Dörphof ; 04352 / 16360444 ; 0151 / 2453223 ; 04352 / 8063845 ; malte.barker@mail.xyz ; ja
33 ; Herr ; Dr. ; Lars ; Martina ; 25.3.1977 ; Friedrich-Ebert-Str. 56 ; 66851 ; Queidersbach ; 0631 / 67650262 ; 0159 / 8504985 ; 0631 / 49059720 ; lars.martina@mail.xyz ; ja
34 ; Frau ; Prof. ; Beate ; Salon ; 9.3.1976 ; Von-Holte-Str. 42 ; 35392 ; Gießen ; 0641 / 5254509 ; 0155 / 2098591 ; 0641 / 71046142 ; beate.salon@mail.xyz ; ja
35 ; Frau ; Dr. ; Melanie ; Schürmann ; 17.1.1962 ; Werkstattstr. 129 ; 02991 ; Elsterheide ; 03571 / 63222013 ; 0150 / 9428268 ; 03571 / 77485066 ; melanie.schuermann@mail.xyz ; ja
36 ; Herr ; Dr. ; Til ; Daniela ; 4.8.1984 ; Langeworth 104 ; 89281 ; Altenstadt ; 08337 / 97767750 ; 0164 / 6302405 ; 08337 / 74422052 ; til.daniela@mail.xyz ; ja
37 ; Frau ; Dr. ; Carin ; Hudson ; 15.4.1980 ; Böttcherstr. 167 ; 13158 ; Wilhelmsruh ; 030 / 67874883 ; 0151 / 7753190 ; 030 / 99908171 ; carin.hudson@mail.xyz ; ja
38 ; Herr ; Dr. ; Luis ; Breyer ; 17.6.1981 ; Ostmarkstr. 51 ; 55585 ; Altenbamberg ; 06708 / 18355147 ; 0165 / 6138926 ; 06708 / 96752097 ; l.breyer@mail.xyz ; ja
39 ; Frau ; Dr. ; Rosemarie ; Schäfers ; 14.12.1994 ; Hacklenburg 8 ; 91622 ; Rügland ; 09828 / 20426641 ; 0162 / 2923940 ; 09828 / 958576 ; r.schaefers@mail.xyz ; ja
40 ; Herr ; Dr. ; Volker ; Hagel ; 24.5.1946 ; Simon-Meister-Str. 13 ; 08236 ; Ellefeld ; 03745 / 57373521 ; 0173 / 2618151 ; 03745 / 22267882 ; v.hagel@mail.xyz ; ja
41 ; Herr ; Dr. ; Rudolph ; Wienecke ; 13.7.1941 ; Baumberger Str. 20 ; 24794 ; Borgstedt ; 04356 / 2848626 ; 0171 / 8660666 ; 04356 / 32337230 ; rudolph.wienecke@mail.xyz ; ja
42 ; Frau ; Dr. ; Käthe ; Wong ; 11.8.1988 ; Deutz-Kalker Str. 80 ; 08491 ; Netzschkau ; 03765 / 24962813 ; 0175 / 7829133 ; 03765 / 64735485 ; kaethe.wong@mail.xyz ; ja
43 ; Herr ; Dr. ; Mika ; Bröker ; 21.4.1940 ; Telemannstr. 27 ; 21730 ; Balje ; 04753 / 610306 ; 0151 / 4357425 ; 04753 / 15767268 ; m.broeker@mail.xyz ; ja
44 ; Herr ; Dr. ; Jeremy ; Bode ; 19.5.1945 ; Erikahof 121 ; 74394 ; Hessigheim ; 07143 / 28273245 ; 0178 / 9354990 ; 07143 / 31067017 ; j.bode@mail.xyz ; ja
45 ; Frau ; Dr. ; Jule ; Alber ; 12.1.1963 ; Kappenberger Damm 192 ; 25999 ; Kampen ; 04651 / 83808331 ; 0158 / 8082149 ; 04651 / 8909414 ; j.alber@mail.xyz ; ja
46 ; Frau ; Dr. ; Larissa ; Schauer ; 20.9.1980 ; Oberschlesier Str. 189 ; 33604 ; Bielefeld ; 0521 / 88536358 ; 0152 / 5307701 ; 0521 / 62658687 ; l.schauer@mail.xyz ; ja
47 ; Herr ; Dr. ; Mats ; Bergmann ; 11.1.1925 ; Dodostr. 96 ; 23738 ; Harmsdorf ; 04363 / 22878549 ; 0171 / 6424065 ; 04363 / 79210240 ; m.bergmann@mail.xyz ; ja
48 ; Herr ; Prof. ; Oscar ; Siegl ; 27.9.1931 ; Weserstr. 114 ; 71717 ; Stocksberg ; 07945 / 67030541 ; 0171 / 4402892 ; 07945 / 46670267 ; oscar.siegl@mail.xyz ; ja
49 ; Herr ; Dr. ; Yannick ; Ostermann ; 7.8.1959 ; Im Draum 83 ; 06556 ; Ichstedt ; 03466 / 4477995 ; 0156 / 9118479 ; 03466 / 19867571 ; yannick.ostermann@mail.xyz ; ja
50 ; Herr ; Dr. ; Detlef ; Mosch ; 7.9.1989 ; Düsseldorfer Str. 38 ; 54578 ; Oberehe-Stroheich ; 06593 / 42564163 ; 0150 / 7457265 ; 06593 / 34371758 ; d.mosch@mail.xyz ; ja
51 ; Herr ; Prof. ; Juri ; Uhlemann ; 16.4.1929 ; Dachsleite 181 ; 95700 ; Neusorg ; 09234 / 77267260 ; 0158 / 9891153 ; 09234 / 21017190 ; juri.uhlemann@mail.xyz ; ja
52 ; Frau ; Dr. ; Gabriele ; Seeger ; 17.6.1938 ; Am Grauen Stein 15 ; 08393 ; Dennheritz ; 03764 / 52144569 ; 0155 / 6203903 ; 03764 / 28428182 ; g.seeger@mail.xyz ; ja
53 ; Frau ; Dr. ; Karina ; Kaczmarek ; 20.8.1934 ; Breslauer Str. 33 ; 78343 ; Gaienhofen ; 07732 / 47428622 ; 0165 / 9287371 ; 07732 / 33049380 ; karina.kaczmarek@mail.xyz ; ja
54 ; Herr ; Dr. ; Luca ; Sullivan ; 25.3.1987 ; Teutonenstr. 127 ; 10783 ; Berlin ; 030 / 59479355 ; 0150 / 6271127 ; 030 / 84294505 ; luca.sullivan@mail.xyz ; ja
55 ; Herr ; Prof. ; Leonardo ; Eibl ; 16.6.1962 ; Gottesweg 20 ; 54597 ; Wallersheim ; 06551 / 91547478 ; 0165 / 1014015 ; 06551 / 39838930 ; leonardo.eibl@mail.xyz ; ja
56 ; Frau ; Dr. ; Jana ; Ebinger ; 7.2.1974 ; Meesenstiege 172 ; 39124 ; Magdeburg ; 0391 / 97822853 ; 0175 / 6794088 ; 0391 / 34702608 ; jana.ebinger@mail.xyz ; ja
57 ; Frau ; Dr. ; Jonna ; Janzen ; 18.4.1937 ; Christinastr. 39 ; 25715 ; Ramhusen ; 04851 / 32555415 ; 0153 / 1407577 ; 04851 / 42849671 ; jonna.janzen@mail.xyz ; ja
58 ; Frau ; Dr. ; Monica ; Schwabe ; 9.6.1929 ; Ripenhorst 97 ; 23562 ; Lübeck ; 0451 / 57293990 ; 0174 / 4998425 ; 0451 / 8017680 ; m.schwabe@mail.xyz ; ja
59 ; Frau ; Dr. ; Mathilda ; Schirmer ; 20.8.1930 ; Jägerstr. A 169a ; 29416 ; Püggen ; 03901 / 60956096 ; 0173 / 1751614 ; 03901 / 55564574 ; m.schirmer@mail.xyz ; ja
60 ; Frau ; Dr. ; Henriette ; Wilhelms ; 28.3.1921 ; Christinastr. 199 ; 57627 ; Gehlert ; 02662 / 97963534 ; 0160 / 3176207 ; 02662 / 93013049 ; h.wilhelms@mail.xyz ; ja
61 ; Frau ; Prof. ; Christiane ; Nguyen ; 24.3.1978 ; Methweg 166 ; 47802 ; Krefeld ; 02151 / 66983204 ; 0163 / 5434746 ; 02151 / 78676455 ; christiane.nguyen@mail.xyz ; ja
62 ; Frau ; Dr. ; Lina ; Singleton ; 14.7.1992 ; Hermann-Treff-Weg 24 ; 71711 ; Steinheim an der Murr ; 07144 / 91648791 ; 0151 / 2831037 ; 07144 / 52092421 ; lina.singleton@mail.xyz ; ja
63 ; Frau ; Dr. ; Jonna ; Brinker ; 15.6.1938 ; Carossastr. 71 ; 94158 ; Philippsreut ; 08550 / 38972883 ; 0179 / 6543428 ; 08550 / 22394830 ; j.brinker@mail.xyz ; ja
64 ; Frau ; Dr. ; Gertrud ; Schuh ; 14.2.1998 ; Hülsebrockstr. 166 ; 56729 ; Herresbach ; 02651 / 83090353 ; 0162 / 6144246 ; 02651 / 19042055 ; gertrud.schuh@mail.xyz ; ja
65 ; Frau ; Dr. ; Eileen ; Böhmer ; 7.8.1932 ; Dachsleite 170 ; 44269 ; Dortmund ; 0231 / 94067329 ; 0176 / 1850403 ; 0231 / 96278824 ; e.boehmer@mail.xyz ; ja
66 ; Frau ; Dr. ; Philine ; Brinker ; 5.10.1920 ; Nerzweg 130 ; 79291 ; Merdingen ; 07668 / 22177681 ; 0159 / 8534203 ; 07668 / 90714102 ; p.brinker@mail.xyz ; ja
67 ; Herr ; Dr. ; Quentin ; Henrichs ; 1.1.1944 ; Starweg 193 ; 54332 ; Wasserliesch ; 06501 / 34541745 ; 0172 / 2241588 ; 06501 / 12911625 ; q.henrichs@mail.xyz ; ja
68 ; Frau ; Dr. ; Alicia ; Metzner ; 25.1.1987 ; Im Haubenfeld 52 ; 41169 ; Mönchengladbach ; 02161 / 7586848 ; 0161 / 8152899 ; 02161 / 61423034 ; alicia.metzner@mail.xyz ; ja
69 ; Herr ; Dr. ; Harald ; Nass ; 11.12.1971 ; Düesbergweg 154 ; 55234 ; Nack ; 06731 / 23459599 ; 0179 / 8306516 ; 06731 / 77687246 ; h.nass@mail.xyz ; ja
70 ; Frau ; Dr. ; Britta ; Starke ; 6.11.1984 ; Rohrkampstr. 4 ; 50181 ; Bedburg ; 02272 / 44186694 ; 0150 / 8511072 ; 02272 / 64619198 ; britta.starke@mail.xyz ; ja
71 ; Frau ; Prof. ; Mathilda ; Wille ; 17.6.1921 ; Piusallee 73 ; 25864 ; Löwenstedt ; 04843 / 28879024 ; 0171 / 7048820 ; 04843 / 31129218 ; mathilda.wille@mail.xyz ; ja
72 ; Frau ; Dr. ; Anouk ; Kaltenbach ; 10.9.1941 ; Dingbängerweg 186 ; 97772 ; Wildflecken ; 09745 / 32426252 ; 0172 / 4285637 ; 09745 / 50502720 ; a.kaltenbach@mail.xyz ; ja
73 ; Herr ; Dr. ; Laurenz ; Schöne ; 24.5.1976 ; Görlitzer Str. 138 ; 67297 ; Marnheim ; 06352 / 33323408 ; 0171 / 7785615 ; 06352 / 955723 ; laurenz.schoene@mail.xyz ; ja
74 ; Frau ; Dr. ; Emely ; Wolf ; 16.11.1983 ; Parkallee 86 ; 89331 ; Burgau ; 08222 / 7909129 ; 0155 / 7154906 ; 08222 / 32715881 ; emely.wolf@mail.xyz ; ja
75 ; Herr ; Dr. ; Ullrich ; Zeitz ; 16.3.1960 ; Dauvemühle 33 ; 87754 ; Kammlach ; 08261 / 74324806 ; 0152 / 6874980 ; 08261 / 76549668 ; ullrich.zeitz@mail.xyz ; ja
76 ; Frau ; Dr. ; Samantha ; Murray ; 10.11.1941 ; Möserweg 81 ; 88367 ; Hohentengen ; 07572 / 6343484 ; 0178 / 2508461 ; 07572 / 20619850 ; s.murray@mail.xyz ; ja
77 ; Herr ; Dr. ; Karl ; Robinson ; 26.7.1955 ; Guntherstr. 69 ; 06667 ; Storkau ; 03443 / 90571176 ; 0160 / 9027626 ; 03443 / 96617231 ; karl.robinson@mail.xyz ; ja
78 ; Frau ; Dr. ; Isabell ; Craig ; 12.1.1930 ; Pankokstr. 111 ; 31303 ; Burgdorf ; 05136 / 47500803 ; 0166 / 8376772 ; 05136 / 94491559 ; isabell.craig@mail.xyz ; ja
79 ; Herr ; Dr. ; Pascal ; Petersen ; 6.8.1957 ; Johann-Krane-Weg 181 ; 44628 ; Herne ; 02323 / 78293337 ; 0160 / 4981052 ; 02323 / 32362389 ; p.petersen@mail.xyz ; ja
80 ; Herr ; Dr. ; Thore ; Pauly ; 2.10.1974 ; Schubertstr. 95 ; 27624 ; Ringstedt ; 04708 / 91427107 ; 0158 / 2084446 ; 04708 / 73578954 ; t.pauly@mail.xyz ; ja
81 ; Frau ; Prof. ; Kira ; Arndt ; 28.11.1940 ; Neusser Str. 2 ; 53539 ; Welcherath ; 02692 / 14792693 ; 0168 / 5729262 ; 02692 / 24932149 ; kira.arndt@mail.xyz ; ja
82 ; Herr ; Dr. ; Jürgen ; Menzel ; 10.4.1942 ; Berrischstr. 189 ; 52428 ; Jülich ; 02461 / 82466933 ; 0156 / 1786376 ; 02461 / 60711502 ; j.menzel@mail.xyz ; ja
83 ; Herr ; Dr. ; Bernd ; Thamm ; 3.10.1942 ; Langestr. 35 ; 91325 ; Adelsdorf ; 09195 / 68817651 ; 0161 / 4557494 ; 09195 / 75640661 ; bernd.thamm@mail.xyz ; ja
84 ; Frau ; Dr. ; Ayleen ; Reith ; 4.3.1971 ; Deutz-Kalker Str. 12 ; 25554 ; Neuendorf-Sachsenbande ; 04823 / 46401441 ; 0173 / 9126282 ; 04823 / 85190931 ; a.reith@mail.xyz ; ja
