Nr. ; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  EMail ;  Newsletter
1 ; Frau ; Dr. ; Laila ; Germann ; 12.8.1941 ; Stolbergstr. 157 ; 66851 ; Bann ; 06372 / 78889511 ; 0169 / 3670414 ; 06372 / 67136869 ; l.germann@mail.xyz ; ja
2 ; Herr ; Dr. ; Matthies ; Baier ; 20.9.1995 ; Frauenstr. 72 ; 56414 ; Dreikirchen ; 06435 / 73908650 ; 0158 / 5110221 ; 06435 / 50516996 ; m.baier@mail.xyz ; ja
3 ; Herr ; Dr. ; Cedrik ; Jäkel ; 24.2.1969 ; Langestr. 46 ; 56132 ; Dausenau ; 02603 / 14039295 ; 0151 / 8788064 ; 02603 / 63209487 ; cedrik.jaekel@mail.xyz ; ja
4 ; Frau ; Prof. ; Ida ; Löw ; 2.5.1961 ; Hüfferstr. 182a ; 53520 ; Meuspath ; 02691 / 57267784 ; 0153 / 2582370 ; 02691 / 12562362 ; i.loew@mail.xyz ; ja
5 ; Frau ; Dr. ; Madeleine ; Höhn ; 13.10.1962 ; Am Krausen Baum 55 ; 94036 ; Passau ; 0851 / 40193582 ; 0172 / 1727359 ; 0851 / 96462502 ; madeleine.hoehn@mail.xyz ; ja
6 ; Frau ; Dr. ; Marion ; Lopez ; 3.4.1953 ; Osthuesheide 91 ; 93186 ; Pettendorf ; 09409 / 36685645 ; 0161 / 4156802 ; 09409 / 95576806 ; marion.lopez@mail.xyz ; ja
7 ; Herr ; Dr. ; Valentin ; Feller ; 12.10.1995 ; Janningsweg 57 ; 74376 ; Gemmrigheim ; 07143 / 99353420 ; 0165 / 5885227 ; 07143 / 76322692 ; valentin.feller@mail.xyz ; ja
8 ; Frau ; Dr. ; Birgit ; Carpenter ; 6.4.1988 ; Wildpfad 77 ; 94036 ; Passau ; 0851 / 95801324 ; 0175 / 4903555 ; 0851 / 57587138 ; b.carpenter@mail.xyz ; ja
9 ; Frau ; Dr. ; Philine ; Steele ; 10.8.1943 ; Piusallee 180 ; 57580 ; Elben ; 02747 / 16044515 ; 0155 / 4714788 ; 02747 / 8424877 ; philine.steele@mail.xyz ; ja
10 ; Frau ; Dr. ; Jill ; Fields ; 4.3.1934 ; Gremmendorfer Weg 1 ; 85737 ; Ismaning ; 089 / 79687357 ; 0159 / 5554322 ; 089 / 41068451 ; jill.fields@mail.xyz ; ja
11 ; Frau ; Dr. ; Maren ; Beyer ; 20.2.1933 ; Düesbergweg 181 ; 86741 ; Ehingen am Ries ; 09082 / 53232652 ; 0170 / 4198981 ; 09082 / 49670912 ; maren.beyer@mail.xyz ; ja
12 ; Herr ; Dr. ; Jakob ; Wieser ; 1.2.1971 ; Hansaring 117 ; 78737 ; Fluorn-Winzeln ; 07402 / 87710422 ; 0171 / 1591242 ; 07402 / 44083359 ; j.wieser@mail.xyz ; ja
13 ; Herr ; Dr. ; Ingo ; Eberhard ; 26.8.1954 ; Meckmannweg 40 ; 24369 ; Waabs ; 04352 / 69431482 ; 0154 / 5574933 ; 04352 / 29445580 ; ingo.eberhard@mail.xyz ; ja
14 ; Herr ; Prof. ; Thorben ; Dahm ; 15.5.1968 ; Speestr. - 81 ; 89364 ; Rettenbach ; 08224 / 98588788 ; 0160 / 8560305 ; 08224 / 19188241 ; thorben.dahm@mail.xyz ; ja
15 ; Frau ; Prof. ; Lina ; Glück ; 25.6.1949 ; Mersmannsstiege 192 ; 55234 ; Monzernheim ; 06244 / 53483242 ; 0165 / 5421396 ; 06244 / 80733821 ; lina.glueck@mail.xyz ; ja
16 ; Herr ; Dr. ; Ingo ; Schöne ; 21.4.1970 ; Studtstr. 97 ; 96352 ; Wilhelmsthal ; 09260 / 14844263 ; 0176 / 2715911 ; 09260 / 88001584 ; ingo.schoene@mail.xyz ; ja
17 ; Frau ; Dr. ; Jill ; Bryan ; 28.4.1941 ; Starweg 122a ; 83512 ; Wasserburg am Inn ; 08071 / 55695319 ; 0167 / 6432781 ; 08071 / 65772781 ; j.bryan@mail.xyz ; ja
18 ; Frau ; Dr. ; Angelika ; Ebner ; 20.10.1929 ; Görlitzer Str. 132a ; 86438 ; Kissing ; 08233 / 11603425 ; 0162 / 5228625 ; 08233 / 14337188 ; a.ebner@mail.xyz ; ja
19 ; Frau ; Dr. ; Edith ; Reichelt ; 11.10.1985 ; Rincklakeweg 60a ; 29413 ; Langenapel ; 03902 / 3156073 ; 0175 / 2571353 ; 03902 / 96124414 ; e.reichelt@mail.xyz ; ja
20 ; Frau ; Dr. ; Sinah ; Bald ; 3.1.1955 ; Rosenplatz 113 ; 56761 ; Müllenbach ; 02653 / 98944049 ; 0162 / 2806448 ; 02653 / 321715 ; s.bald@mail.xyz ; ja
21 ; Herr ; Dr. ; Artur ; Sattler ; 1.5.1969 ; Langestr. 159 ; 93183 ; Kallmünz ; 09473 / 67800458 ; 0160 / 3086200 ; 09473 / 63906182 ; artur.sattler@mail.xyz ; ja
22 ; Frau ; Dr. ; Chantale ; Alvarez ; 18.7.1959 ; Heroldstr. 36 ; 75173 ; Pforzheim ; 07231 / 92288901 ; 0158 / 9240064 ; 07231 / 60790565 ; chantale.alvarez@mail.xyz ; ja
23 ; Herr ; Prof. ; Wilhelm ; Scheffler ; 6.9.1926 ; Lammerbach 11 ; 73257 ; Köngen ; 07024 / 65088667 ; 0150 / 3220817 ; 07024 / 35948325 ; wilhelm.scheffler@mail.xyz ; ja
24 ; Herr ; Dr. ; Rüdiger ; Hantke ; 24.11.1938 ; Gustav-Tweer-Weg 82 ; 25876 ; Wisch ; 04841 / 41544491 ; 0163 / 6367414 ; 04841 / 73980238 ; ruediger.hantke@mail.xyz ; ja
25 ; Frau ; Dr. ; Helen ; Bosse ; 5.5.1965 ; Soetenkamp 163 ; 27801 ; Dötlingen ; 04433 / 78897589 ; 0165 / 3495243 ; 04433 / 55376180 ; helen.bosse@mail.xyz ; ja
26 ; Herr ; Dr. ; Roman ; Eisele ; 19.5.1982 ; Hoove 88 ; 85304 ; Ilmmünster ; 08441 / 94065257 ; 0177 / 7550855 ; 08441 / 97963000 ; r.eisele@mail.xyz ; ja
27 ; Herr ; Prof. ; Detlev ; Jankowski ; 17.2.1974 ; Dachsleite 191 ; 49152 ; Bad Essen ; 05472 / 39813991 ; 0150 / 3520247 ; 05472 / 76191526 ; d.jankowski@mail.xyz ; ja
28 ; Herr ; Prof. ; Mirco ; Haid ; 3.7.1981 ; Piusstr. 7 ; 63825 ; Schöllkrippen ; 06024 / 7970113 ; 0151 / 4797491 ; 06024 / 82105188 ; m.haid@mail.xyz ; ja
29 ; Herr ; Prof. ; Mohamed ; Glover ; 12.1.1946 ; An den Weiden 93 ; 97833 ; Frammersbach ; 09355 / 70550721 ; 0168 / 7105792 ; 09355 / 87763564 ; m.glover@mail.xyz ; ja
30 ; Herr ; Prof. ; Jeremie ; Kalisch ; 17.5.1978 ; Speestr. - 86 ; 54634 ; Metterich ; 06561 / 69634111 ; 0152 / 6261122 ; 06561 / 46614271 ; jeremie.kalisch@mail.xyz ; ja
31 ; Herr ; Dr. ; Walter ; Berger ; 19.8.1947 ; Baumberger Str. 20 ; 17089 ; Golchen ; 03965 / 70138884 ; 0162 / 2580833 ; 03965 / 51398548 ; walter.berger@mail.xyz ; ja
