Nr. ; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  EMail ;  Newsletter
1 ; Frau ; Prof. ; Sonja ; Mills ; 14.2.1936 ; Weseler Str. 164 ; 91352 ; Hallerndorf ; 09545 / 51967528 ; 0171 / 6321723 ; 09545 / 57560475 ; sonja.mills@mail.xyz ; ja
2 ; Frau ; Dr. ; Cathrin ; Pech ; 6.9.1933 ; Kerßenbrockstr. 101 ; 84144 ; Geisenhausen ; 08743 / 3770574 ; 0163 / 8334296 ; 08743 / 95397724 ; cathrin.pech@mail.xyz ; ja
3 ; Frau ; Dr. ; Kristin ; Eckstein ; 25.10.1933 ; Hindenburgplatz 144 ; 25917 ; Stadum ; 04662 / 51400675 ; 0152 / 8500325 ; 04662 / 32085256 ; k.eckstein@mail.xyz ; ja
4 ; Frau ; Dr. ; Finnja ; Eisele ; 3.2.1969 ; Marderweg 51 ; 96369 ; Weißenbrunn ; 09261 / 80482915 ; 0173 / 4323238 ; 09261 / 36028975 ; f.eisele@mail.xyz ; ja
5 ; Frau ; Dr. ; Fenja ; Fox ; 9.7.1920 ; Gildenstr. 81 ; 56858 ; Sosberg ; 06542 / 36837891 ; 0174 / 7215373 ; 06542 / 70397174 ; fenja.fox@mail.xyz ; ja
6 ; Herr ; Prof. ; Gabriel ; Knauer ; 16.1.1932 ; Hogenbergstr. 46 ; 66539 ; Neunkirchen ; 06821 / 60312304 ; 0179 / 5763456 ; 06821 / 86221793 ; gabriel.knauer@mail.xyz ; ja
7 ; Herr ; Dr. ; Wilfried ; Leder ; 1.12.1965 ; Telemannstr. 59a ; 54673 ; Zweifelscheid ; 06564 / 20633763 ; 0151 / 3029955 ; 06564 / 12224689 ; wilfried.leder@mail.xyz ; ja
8 ; Frau ; Dr. ; Aleyna ; Watts ; 9.3.1977 ; Wörthstr. 153 ; 89296 ; Osterberg ; 08337 / 10032855 ; 0172 / 5356100 ; 08337 / 48468937 ; a.watts@mail.xyz ; ja
9 ; Herr ; Dr. ; Uwe ; Beier ; 2.4.1938 ; Bünkamp 29 ; 54636 ; Echtershausen ; 06561 / 84760454 ; 0163 / 6439503 ; 06561 / 35994127 ; uwe.beier@mail.xyz ; ja
10 ; Herr ; Dr. ; Lennox ; Kretschmer ; 17.11.1926 ; Parkallee 18a ; 34454 ; Bad Arolsen ; 05691 / 33779438 ; 0150 / 4938688 ; 05691 / 91981685 ; l.kretschmer@mail.xyz ; ja
11 ; Frau ; Dr. ; Brigitte ; Ziemer ; 28.3.1978 ; Hensenstr. 107 ; 47608 ; Geldern ; 02831 / 83485090 ; 0164 / 3713227 ; 02831 / 63241633 ; brigitte.ziemer@mail.xyz ; ja
12 ; Frau ; Dr. ; Sophia ; März ; 25.11.1936 ; Parkallee 158 ; 91161 ; Hilpoltstein ; 09174 / 91492882 ; 0167 / 3417201 ; 09174 / 79312285 ; s.maerz@mail.xyz ; ja
13 ; Herr ; Prof. ; Moritz ; Jäger ; 25.5.1970 ; Dorbaumstr. 132 ; 91083 ; Baiersdorf ; 09133 / 8841338 ; 0163 / 8862650 ; 09133 / 71126985 ; m.jaeger@mail.xyz ; ja
14 ; Herr ; Dr. ; Joel ; Hubbard ; 11.4.1963 ; Friesenring 72 ; 19069 ; Alt Meteln ; 03867 / 94758015 ; 0172 / 3701770 ; 03867 / 28766879 ; joel.hubbard@mail.xyz ; ja
15 ; Herr ; Dr. ; Tore ; Zander ; 11.8.1982 ; Pankokstr. 31 ; 04279 ; Leipzig ; 0341 / 91756582 ; 0153 / 7159988 ; 0341 / 93268403 ; t.zander@mail.xyz ; ja
16 ; Herr ; Prof. ; Can ; Röder ; 10.1.1995 ; Soester Str. 56 ; 21516 ; Müssen ; 04155 / 10949079 ; 0150 / 6982014 ; 04155 / 79400611 ; can.roeder@mail.xyz ; ja
17 ; Frau ; Prof. ; Käthe ; Davidson ; 26.4.1944 ; Rüschhausweg 30 ; 50189 ; Elsdorf ; 02274 / 8515002 ; 0170 / 9836466 ; 02274 / 9262484 ; kaethe.davidson@mail.xyz ; ja
18 ; Herr ; Dr. ; Lion ; Tölle ; 8.5.1944 ; Hacklenburg 189 ; 57610 ; Altenkirchen ; 06386 / 87918531 ; 0151 / 5452330 ; 06386 / 91646982 ; lion.toelle@mail.xyz ; ja
19 ; Herr ; Dr. ; Til ; Demmer ; 13.11.1938 ; Sophienstr. 151 ; 59302 ; Oelde ; 02522 / 44528322 ; 0162 / 5856908 ; 02522 / 529262 ; til.demmer@mail.xyz ; ja
20 ; Frau ; Dr. ; Michelle ; Eberle ; 7.1.1998 ; Heroldstr. 147 ; 66679 ; Losheim am See ; 06872 / 16916441 ; 0168 / 7525013 ; 06872 / 15984894 ; michelle.eberle@mail.xyz ; ja
21 ; Herr ; Prof. ; Björn ; Seidel ; 14.8.1972 ; Am Filk 146 ; 36320 ; Kirtorf ; 06635 / 35856647 ; 0174 / 6219587 ; 06635 / 272646 ; b.seidel@mail.xyz ; ja
22 ; Herr ; Dr. ; Curt ; Kranz ; 22.8.1999 ; Rohrkampstr. 66 ; 40229 ; Düsseldorf ; 0211 / 45448923 ; 0175 / 5830055 ; 0211 / 59070557 ; curt.kranz@mail.xyz ; ja
23 ; Herr ; Dr. ; Lion ; Hale ; 15.12.1934 ; Dorotheenstr. 158 ; 55288 ; Schornsheim ; 06732 / 20962649 ; 0162 / 9308509 ; 06732 / 12756249 ; l.hale@mail.xyz ; ja
24 ; Herr ; Dr. ; Jörn ; Muller ; 17.1.1931 ; Dorbaumstr. 162 ; 78669 ; Wellendingen ; 07426 / 92023916 ; 0177 / 9034286 ; 07426 / 34168213 ; j.muller@mail.xyz ; ja
25 ; Frau ; Dr. ; Rita ; Heckmann ; 19.8.1961 ; Innsbruckweg 196 ; 91790 ; Burgsalach ; 09147 / 20294393 ; 0163 / 3410290 ; 09147 / 98765081 ; r.heckmann@mail.xyz ; ja
26 ; Herr ; Dr. ; Jonas ; Pietsch ; 19.6.1947 ; Nienkamp 152 ; 86480 ; Aletshausen ; 08282 / 659196 ; 0152 / 3991821 ; 08282 / 52813968 ; jonas.pietsch@mail.xyz ; ja
27 ; Herr ; Prof. ; Christopher ; Mendoza ; 6.11.1985 ; Kurze Str. 84a ; 45476 ; Mülheim an der Ruhr ; 0208 / 17869090 ; 0163 / 3707973 ; 0208 / 40117510 ; c.mendoza@mail.xyz ; ja
28 ; Frau ; Dr. ; Christine ; Gebhardt ; 22.7.1933 ; Unter Kahlenhausen 148 ; 25761 ; Warwerort ; 04834 / 97093566 ; 0177 / 7837902 ; 04834 / 1989992 ; christine.gebhardt@mail.xyz ; ja
29 ; Herr ; Dr. ; Bruno ; Glück ; 12.11.1972 ; Zum Guten Hirten 132 ; 06712 ; Zeitz ; 03441 / 84135832 ; 0157 / 2454428 ; 03441 / 46721396 ; b.glueck@mail.xyz ; ja
30 ; Frau ; Dr. ; Janne ; Bosse ; 22.7.1988 ; Albachtener Str. 23 ; 66987 ; Thaleischweiler-Fröschen ; 06334 / 28942177 ; 0162 / 4710396 ; 06334 / 48623991 ; janne.bosse@mail.xyz ; ja
31 ; Herr ; Dr. ; Phil ; Fellner ; 19.8.1961 ; Breul 141 ; 41352 ; Korschenbroich ; 02161 / 21412270 ; 0164 / 2436705 ; 02161 / 2038307 ; phil.fellner@mail.xyz ; ja
32 ; Herr ; Prof. ; Lars ; Krey ; 23.5.1945 ; Am Berler Kamp 37 ; 84056 ; Rottenburg an der Laaber ; 08781 / 94773653 ; 0160 / 1671860 ; 08781 / 14226884 ; l.krey@mail.xyz ; ja
33 ; Herr ; Prof. ; Dustin ; Baumgarten ; 9.12.1956 ; Langestr. 47 ; 04720 ; Döbeln ; 03431 / 29487313 ; 0161 / 2074082 ; 03431 / 83791045 ; dustin.baumgarten@mail.xyz ; ja
34 ; Herr ; Dr. ; Curt ; Strauch ; 10.7.1958 ; Marktstr. 99 ; 24594 ; Mörel ; 04871 / 1385101 ; 0161 / 1400852 ; 04871 / 66723518 ; c.strauch@mail.xyz ; ja
35 ; Herr ; Dr. ; Henry ; Waldmann ; 2.7.1953 ; Telemannstr. 109a ; 66280 ; Sulzbach ; 06897 / 50262488 ; 0170 / 9622446 ; 06897 / 14053175 ; h.waldmann@mail.xyz ; ja
36 ; Herr ; Prof. ; Fabian ; Menzel ; 8.5.1947 ; Am Nubbenberg 22 ; 99326 ; Stadtilm ; 03629 / 90566053 ; 0174 / 1925220 ; 03629 / 95368541 ; fabian.menzel@mail.xyz ; ja
37 ; Herr ; Dr. ; Noel ; Frick ; 27.10.1992 ; Rohrkampstr. 6 ; 67748 ; Odenbach ; 06753 / 44339522 ; 0161 / 2901231 ; 06753 / 16789791 ; noel.frick@mail.xyz ; ja
38 ; Herr ; Dr. ; Aaron ; Seemann ; 5.8.1995 ; Sporckweg 144 ; 37073 ; Göttingen ; 0551 / 6489014 ; 0156 / 4294035 ; 0551 / 40981413 ; a.seemann@mail.xyz ; ja
39 ; Frau ; Dr. ; Lene ; Parks ; 1.5.1997 ; Von-Holte-Str. 132 ; 26386 ; Wilhelmshaven ; 04421 / 70407191 ; 0150 / 7026921 ; 04421 / 67179056 ; l.parks@mail.xyz ; ja
40 ; Frau ; Dr. ; Heike ; Dick ; 14.7.1947 ; Wildpfad 81 ; 33758 ; Schloß Holte-Stukenbrock ; 05207 / 26109984 ; 0178 / 1307186 ; 05207 / 96455185 ; h.dick@mail.xyz ; ja
41 ; Frau ; Dr. ; Jasmin ; Sommer ; 25.2.1941 ; Liboristr. 84 ; 38170 ; Vahlberg ; 05332 / 14306348 ; 0159 / 2479645 ; 05332 / 10980936 ; j.sommer@mail.xyz ; ja
42 ; Frau ; Prof. ; Aileen ; Busch ; 4.9.1986 ; Paul-Engelhard-Weg 98 ; 06528 ; Großleinungen ; 03464 / 27099443 ; 0161 / 4800899 ; 03464 / 11441797 ; aileen.busch@mail.xyz ; ja
43 ; Herr ; Dr. ; Valentin ; Page ; 9.3.1950 ; Soester Str. 72 ; 25693 ; Sankt Michaelisdonn ; 04853 / 88970330 ; 0170 / 5175777 ; 04853 / 25191495 ; valentin.page@mail.xyz ; ja
44 ; Frau ; Dr. ; Irmgard ; Doll ; 16.12.1944 ; Straßburger Weg 34 ; 40217 ; Düsseldorf ; 0211 / 79650895 ; 0160 / 1004794 ; 0211 / 65041813 ; i.doll@mail.xyz ; ja
45 ; Herr ; Dr. ; Niko ; Strauch ; 13.11.1951 ; Ostmarkstr. 98 ; 67823 ; Sitters ; 06362 / 43997471 ; 0159 / 5135300 ; 06362 / 60032518 ; n.strauch@mail.xyz ; ja
46 ; Frau ; Prof. ; Annica ; Gehrmann ; 12.7.1969 ; Kriegerweg 74 ; 84094 ; Elsendorf ; 08753 / 99088009 ; 0159 / 9664078 ; 08753 / 646370 ; annica.gehrmann@mail.xyz ; ja
47 ; Frau ; Dr. ; Dana ; Zander ; 7.7.2000 ; Neusser Str. 163 ; 77749 ; Hohberg ; 07808 / 57517757 ; 0150 / 6001076 ; 07808 / 38394799 ; dana.zander@mail.xyz ; ja
48 ; Herr ; Dr. ; Matthias ; Kast ; 14.12.1922 ; Försterstr. 141 ; 42579 ; Heiligenhaus ; 02056 / 23853235 ; 0163 / 8382686 ; 02056 / 1190363 ; matthias.kast@mail.xyz ; ja
